time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),rain (mm),snowfall (cm),pressure_msl (hPa)
946616400,-0.4,84,-5.1,0,0,1016.5
946620000,-0.4,83,-5,0,0,1016.7
946623600,-1,75,-5.9,0,0,1016.9
946627200,-1.5,73,-6.5,0,0,1017.6
946630800,-1.8,71,-6.7,0,0,1018
946634400,-2.4,71,-7.3,0,0,1017.8
946638000,-2.7,71,-7.1,0,0,1017.7
946641600,-3.2,72,-7.3,0,0,1018.1
946645200,-3.8,74,-7.9,0,0,1018.7
946648800,-4.2,76,-8.3,0,0,1018.2
946652400,-3.7,73,-7.6,0,0,1018.5
946656000,-2.2,67,-6.2,0,0,1018.5
946659600,-0.5,58,-4.6,0,0,1017.6
946663200,0.8,50,-3.9,0,0,1016.1
946666800,2.3,47,-2.9,0,0,1014.4
946670400,2.9,46,-2.6,0,0,1012.6
946674000,2.9,48,-2.7,0,0,1010.8
946677600,2.3,52,-3.6,0,0,1008.7
946681200,1.7,59,-4.1,0,0,1008.2
946684800,1.7,67,-4,0,0,1007.4
946688400,2.1,72,-3.4,0,0,1006.9
946692000,2.3,75,-3,0,0,1006.5
946695600,2.1,75,-3.1,0,0,1007
946699200,1.4,74,-3.7,0,0,1007.5
946702800,0.6,75,-4.3,0,0,1008.7
946706400,-0.2,77,-5,0,0,1009.8
946710000,-0.6,77,-5.3,0,0,1010.7
946713600,-1.3,80,-5.9,0,0,1012.2
946717200,-1.9,81,-6.4,0,0,1013.4
946720800,-2.5,82,-7.1,0,0,1014.2
946724400,-3,81,-7.6,0,0,1015.2
946728000,-3.5,80,-7.8,0,0,1015.9
946731600,-4.1,80,-8.5,0,0,1016.9
946735200,-4.6,80,-9.2,0,0,1017.1
946738800,-4.4,76,-9.1,0,0,1018
946742400,-3.6,69,-8.6,0,0,1018.4
946746000,-2.7,64,-7.7,0,0,1018.6
946749600,-1.7,60,-6.5,0,0,1017.3
946753200,-1.2,58,-6,0,0,1016
946756800,-0.6,57,-5.5,0,0,1015.1
946760400,-0.5,58,-5.5,0,0,1014.2
946764000,-1.1,63,-5.7,0,0,1013.7
946767600,-2.1,69,-7,0,0,1013.4
946771200,-2.6,73,-7.6,0,0,1012.8
946774800,-2.9,77,-7.9,0,0,1011.8
946778400,-2.9,79,-7.8,0,0,1011.2
946782000,-3,82,-7.7,0,0,1010.7
946785600,-3,84,-7.5,0,0,1010.1
946789200,-2.8,85,-7.4,0,0,1009.5
946792800,-2.8,87,-7.3,0,0,1008.6
946796400,-2.6,88,-7.1,0,0,1007.7
946800000,-2.6,90,-7.1,0,0,1007.1
946803600,-2.3,90,-7,0,0,1006.6
946807200,-2,90,-6.8,0,0,1005.7
946810800,-1.9,90,-6.7,0,0,1005.4
946814400,-1.7,90,-6.4,0,0,1005.2
946818000,-1.5,90,-6.2,0,0.07,1005.2
946821600,-1.5,90,-6.3,0,0.14,1005.6
946825200,-1.4,89,-6.4,0,0.14,1006.2
946828800,-1.2,85,-6.3,0,0.21,1007.2
946832400,-1,81,-6.5,0,0.14,1007.7
946836000,0,74,-5.4,0,0,1007.9
946839600,0.5,69,-4.7,0,0,1008.3
946843200,0.8,67,-4.4,0,0,1009.6
946846800,0.7,67,-4.3,0,0,1010.9
946850400,0.1,70,-4.3,0,0,1012.4
946854000,-0.9,75,-5.3,0,0,1013.5
946857600,-1.2,75,-5.6,0,0,1014.8
946861200,-1.7,75,-6.1,0,0,1015.8
946864800,-2,75,-6.3,0,0,1016.9
946868400,-2.5,75,-6.8,0,0,1017.3
946872000,-2.8,75,-7.3,0,0,1017.6
946875600,-3.1,74,-7.5,0,0,1018.4
946879200,-3.5,74,-7.6,0,0,1019.3
946882800,-4.2,82,-8.5,0,0,1020.2
946886400,-4.6,82,-9.2,0,0,1020.7
946890000,-4.6,81,-9.5,0,0,1020.5
946893600,-4.7,81,-9.5,0,0,1019.9
946897200,-4.8,81,-9.7,0,0,1019.5
946900800,-5,80,-10,0,0,1018.9
946904400,-5,80,-10,0,0,1020.2
946908000,-5.1,79,-9.8,0,0,1020.4
946911600,-5.1,77,-9.8,0,0,1021
946915200,-4.9,75,-9.7,0,0,1021.6
946918800,-4.6,72,-9.1,0,0,1021.7
946922400,-4.2,69,-8.7,0,0,1020.6
946926000,-3.6,69,-8.3,0,0,1019.3
946929600,-3.3,67,-8.1,0,0,1019.1
946933200,-3.2,67,-8,0,0,1019.1
946936800,-3.3,68,-8.1,0,0,1018.8
946940400,-3.4,68,-8.4,0,0,1018.2
946944000,-3.5,70,-8.4,0,0,1018.3
946947600,-3.7,71,-8.6,0,0,1018.5
946951200,-3.8,73,-8.8,0,0,1018.8
946954800,-3.9,75,-9.1,0,0,1018.5
946958400,-4.1,77,-9.4,0,0,1018
946962000,-4.3,78,-9.7,0,0,1017.6
946965600,-4.6,78,-10.2,0,0,1017.5
946969200,-4.8,77,-10.8,0,0.07,1017.5
946972800,-5.6,74,-11.9,0,0.07,1018.1
946976400,-6.5,71,-12.9,0,0.07,1018.5
946980000,-7.3,70,-13.5,0,0.07,1018.5
946983600,-8.3,68,-14.5,0,0.07,1019
946987200,-9.2,67,-15.5,0,0,1019.7
946990800,-9.9,66,-16.1,0,0,1020.5
946994400,-10.5,66,-16.5,0,0,1021.1
946998000,-10.8,63,-17.1,0,0,1021.9
947001600,-10.5,60,-16.8,0,0,1022.6
947005200,-9.8,56,-15.9,0,0,1023
947008800,-9.1,53,-15,0,0,1022.8
947012400,-7.4,50,-13.3,0,0,1023
947016000,-7.1,47,-13.1,0,0,1023.2
947019600,-7.2,45,-12.8,0,0,1023.4
947023200,-7.6,44,-13,0,0,1023.7
947026800,-8.5,47,-13.3,0,0,1024.3
947030400,-9.1,47,-14.1,0,0,1024.5
947034000,-10,49,-15.1,0,0,1024.7
947037600,-11.1,53,-15.9,0,0,1024.9
947041200,-11.7,56,-16,0,0,1024.4
947044800,-11.8,57,-16.4,0,0,1024
947048400,-11.7,56,-16.8,0,0,1024.6
947052000,-11.6,56,-16.6,0,0,1024.3
947055600,-11.9,57,-16.9,0,0,1024.2
947059200,-11.9,57,-17.1,0,0,1023.7
947062800,-11.9,58,-17.6,0,0,1023
947066400,-12,60,-17.8,0,0,1022.2
947070000,-11.8,61,-17.8,0,0,1021.2
947073600,-11.4,62,-17.5,0,0,1020.6
947077200,-10.8,62,-17,0,0,1020
947080800,-10.2,63,-16.5,0,0,1019
947084400,-9.5,63,-15.7,0,0.07,1018.2
947088000,-8.7,63,-14.9,0,0.14,1017.7
947091600,-7.9,64,-14.3,0,0.14,1017.3
947095200,-7.4,68,-13.9,0,0.21,1015.9
947098800,-6.3,69,-12.8,0,0.21,1014.7
947102400,-5.7,72,-12,0,0.21,1013.4
947106000,-5.1,75,-11,0,0.14,1012.4
947109600,-4.7,78,-10.2,0,0.07,1012.1
947113200,-4.1,81,-9.7,0,0.07,1011.7
947116800,-3.3,85,-8.6,0,0.21,1011.8
947120400,-2.8,88,-7.9,0,0.21,1011.4
947124000,-2.7,90,-7.5,0,0.07,1011.4
947127600,-2.5,91,-7.2,0,0,1011.5
947131200,-2.2,90,-6.8,0,0,1011.5
947134800,-1.9,89,-6.5,0,0,1012.2
947138400,-1.7,88,-6.3,0,0,1012.9
947142000,-1.4,83,-6.4,0,0,1013.7
947145600,-1.7,78,-7,0,0,1014.7
947149200,-2.3,75,-7.7,0,0,1015.6
947152800,-3,76,-8.7,0,0,1015.9
947156400,-3.7,76,-9.5,0,0,1016.8
947160000,-4.4,75,-10.5,0,0,1017.5
947163600,-5.1,73,-11.5,0,0,1018.5
947167200,-5.7,71,-12,0,0,1019.2
947170800,-6,68,-12.4,0,0,1019.9
947174400,-6.1,64,-12.7,0,0,1020.7
947178000,-5.9,61,-12.6,0,0,1021.4
947181600,-5.5,59,-12.2,0,0,1021.1
947185200,-5.5,59,-12.3,0,0,1020.9
947188800,-5.1,57,-12.1,0,0,1021.1
947192400,-4.5,56,-11.3,0,0,1021.3
947196000,-4.6,60,-10.6,0,0,1021.3
947199600,-5.2,65,-10.7,0,0,1022.1
947203200,-5.9,68,-11.5,0,0,1022.9
947206800,-6.7,68,-12.5,0,0,1023.9
947210400,-7.8,67,-14,0,0,1024.7
947214000,-9.2,65,-15.4,0,0,1025.7
947217600,-10.4,64,-16.4,0,0,1026.5
